                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7857,                 3.3821,                 1.4784,                0.02372,                0.96875,                0.05235,                0.01784,                 2.1065,                 3.4595,                 1.0214,                0.00038,                0.00038,                0.00038
                      2,                 2.1227,                 1.8942,                 1.1455,                0.84466,                 0.8125,                0.85285,                0.25499,                 2.2691,                 1.3535,                 1.0979,             0.00077228,             0.00077228,             0.00077228
                      3,                  2.107,                 1.3361,                 1.1273,                0.78253,                 0.9375,                 0.9057,                0.34969,                 2.2204,                 1.6131,                  1.166,              0.0011566,              0.0011566,              0.0011566
                      4,                 2.0262,                 1.1648,                 1.0974,                0.90018,                0.84546,                 0.9549,                0.43897,                 2.0679,                 1.3346,                 1.1688,              0.0015331,              0.0015331,              0.0015331
                      5,                 2.0658,                 1.1433,                 1.1357,                0.74789,                 0.9375,                0.89741,                0.44401,                 1.9828,                 1.2042,                 1.0965,              0.0019016,              0.0019016,              0.0019016
                      6,                  2.054,                 1.1575,                 1.1448,                0.76853,                0.84375,                0.84285,                 0.4863,                 1.7175,                0.98123,                0.99937,               0.001901,               0.001901,               0.001901
                      7,                  1.959,                 1.1533,                 1.1173,                0.75614,                0.90625,                0.90459,                0.32246,                 2.2369,                 1.3809,                 1.1841,               0.001901,               0.001901,               0.001901
                      8,                 1.6992,                 1.0523,                 1.0425,                0.80309,                 0.9375,                0.92129,                0.45585,                 2.0024,                 1.6418,                 1.1511,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.645,                0.99513,                 1.0128,                0.82586,                0.90625,                0.90102,                0.53039,                 1.6902,                 1.0938,                0.98921,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.8297,                 1.0238,                 1.0966,                0.90418,                  0.875,                0.94029,                0.47657,                 1.9356,                  1.231,                 1.0304,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7239,                0.92586,                 1.0511,                0.89849,                0.96875,                  0.963,                0.48029,                 1.4373,                0.93268,                0.90443,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6956,                0.93457,                 1.0597,                0.93737,                0.93556,                  0.958,                 0.6112,                 1.3245,                0.85968,                0.89722,               0.001802,               0.001802,               0.001802
                     13,                 1.6055,                0.92967,                 1.0535,                0.95437,                0.96875,                0.97399,                 0.6252,                 1.2167,                0.85737,                0.86709,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5368,                 0.8831,                 1.0285,                0.90809,                0.96875,                0.96554,                0.50838,                 1.7938,                0.91786,                0.95381,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.637,                0.85349,                 1.0238,                0.81033,                      1,                 0.9469,                0.61099,                 1.2991,                0.75797,                0.88381,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6181,                0.89486,                 1.0096,                0.83987,                  0.875,                0.88244,                0.44298,                 1.9812,                 1.1775,                0.99375,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6292,                0.83921,                 1.0285,                0.84991,                  0.875,                0.90523,                0.41423,                 2.0311,                 1.2771,                 1.0126,               0.001703,               0.001703,               0.001703
                     18,                 1.6359,                0.85184,                 1.0395,                0.77179,                0.96875,                0.92554,                0.56174,                 1.4595,                0.83154,                0.91193,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5825,                0.91514,                0.98664,                0.90394,                0.96875,                0.93364,                0.51119,                 1.5612,                0.80107,                0.92453,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6098,                0.86404,                  1.023,                0.95336,                0.96875,                0.97089,                 0.6579,                 1.2347,                0.93759,                0.87554,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6417,                0.90462,                 1.0602,                 0.9372,                0.96875,                0.94519,                 0.5706,                 1.4659,                0.79565,                0.89108,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6619,                0.84231,                 1.0432,                0.86434,                 0.9956,                0.95509,                0.60845,                 1.4546,                0.82879,                0.91615,               0.001604,               0.001604,               0.001604
                     23,                 1.6876,                0.89769,                 1.0377,                0.96597,                0.96875,                0.97323,                0.58411,                 1.3949,                0.71331,                0.89171,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4879,                0.79004,                  0.998,                0.91024,                      1,                0.97421,                0.66042,                 1.2671,                0.73146,                0.86727,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5248,                0.81771,                 1.0191,                 0.9627,                0.96875,                0.94827,                0.60599,                 1.6199,                0.79511,                0.92501,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4797,                0.78248,                 1.0021,                0.96581,                0.96875,                0.96498,                0.65157,                 1.2424,                 0.6879,                0.87064,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4504,                0.78466,                 0.9783,                0.71309,                0.85456,                0.86446,                0.47373,                 1.6683,                0.88547,                0.95474,               0.001505,               0.001505,               0.001505
                     28,                 1.5966,                0.79642,                  1.021,                0.92791,                0.96875,                0.96771,                0.69606,                 1.2556,                0.77123,                0.85956,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5044,                  0.912,                 1.0276,                0.86471,                      1,                 0.9644,                0.67884,                 1.4101,                0.77209,                0.88135,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.5196,                0.81405,                0.98965,                0.96846,                      1,                0.96773,                0.66331,                 1.3227,                0.74172,                0.86575,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3047,                0.78211,                0.94258,                0.94097,                 0.9963,                0.96311,                0.68228,                 1.3157,                0.70156,                0.87207,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4897,                0.74914,                0.99824,                0.93121,                0.96875,                 0.9577,                0.69398,                 1.2584,                0.69769,                0.86333,               0.001406,               0.001406,               0.001406
                     33,                 1.4708,                0.75962,                0.99721,                0.90848,                0.93083,                0.93987,                 0.6279,                  1.384,                0.81436,                0.88924,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3846,                0.74263,                0.99328,                0.91014,                0.94973,                0.94872,                0.63107,                 1.2872,                0.70411,                0.88658,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4597,                0.79916,                 1.0307,                0.93985,                      1,                0.96631,                0.65086,                 1.1958,                0.69049,                0.86312,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3691,                0.73175,                0.99316,                0.83408,                      1,                0.95659,                 0.6129,                 1.2986,                0.68902,                0.88238,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4439,                0.72706,                0.99755,                0.92586,                0.96875,                0.95543,                0.63864,                 1.4066,                0.73892,                0.88073,               0.001307,               0.001307,               0.001307
                     38,                 1.4332,                0.76572,                 1.0102,                0.96346,                0.96875,                0.96348,                0.63659,                 1.4193,                0.70399,                0.88893,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4028,                0.74031,                0.97894,                0.96096,                0.96875,                0.96542,                0.63739,                 1.3216,                0.74962,                0.86517,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4566,                0.74364,                 1.0039,                0.87864,                0.96875,                0.95939,                0.57793,                 1.4763,                0.89238,                0.89343,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3768,                0.71842,                0.98774,                0.88419,                0.95457,                0.92706,                0.60499,                 1.2993,                0.70148,                0.87611,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2821,                0.79823,                0.91895,                0.88492,                0.96137,                0.95266,                0.64246,                 1.2404,                0.72133,                 0.8622,               0.001208,               0.001208,               0.001208
                     43,                 1.2335,                0.71452,                 0.9279,                0.93619,                      1,                0.97292,                0.66911,                 1.2713,                0.65182,                0.85638,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3653,                0.68658,                0.97414,                0.90593,                      1,                0.96783,                0.64991,                 1.3681,                0.78648,                0.88725,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3628,                0.68082,                0.95711,                0.96937,                0.98916,                0.97136,                0.66438,                 1.1905,                0.62927,                0.86308,              0.0011486,              0.0011486,              0.0011486
                     46,                  1.313,                0.67992,                0.98649,                0.96824,                      1,                0.97136,                0.69698,                 1.2406,                0.61364,                0.84369,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3689,                0.71986,                0.99054,                0.95999,                      1,                0.97348,                0.65149,                 1.3533,                0.71352,                0.88585,               0.001109,               0.001109,               0.001109
                     48,                 1.2947,                0.67247,                0.95906,                0.96257,                      1,                0.98106,                0.73651,                 1.1755,                0.61856,                0.84303,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3701,                0.70354,                0.97101,                0.96326,                      1,                0.98106,                0.68554,                 1.3156,                0.67977,                0.87613,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4237,                0.72627,                  1.008,                0.96445,                0.96875,                0.98074,                0.67903,                 1.2934,                0.63303,                0.84875,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3757,                0.66863,                0.96004,                0.96505,                0.96875,                0.98167,                 0.5899,                 1.5922,                0.76669,                0.92061,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3932,                0.72032,                 0.9966,                0.96483,                0.96875,                0.97276,                0.66177,                 1.1884,                0.67337,                 0.8686,                0.00101,                0.00101,                0.00101
                     53,                 1.3903,                0.70871,                0.98406,                0.93824,                0.94977,                0.97377,                0.59806,                 1.4333,                0.83397,                0.90173,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3146,                0.67267,                0.95711,                0.91397,                0.99608,                 0.9687,                 0.6443,                 1.2742,                0.65765,                0.86633,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3234,                0.71236,                0.98623,                0.96763,                      1,                0.96682,                0.70632,                 1.1433,                0.59976,                0.83181,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3073,                0.76569,                 0.9494,                 0.9693,                      1,                0.97348,                0.68078,                 1.2166,                0.62859,                0.83898,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2979,                0.69069,                0.97341,                0.96428,                      1,                0.97439,                0.72379,                 1.1646,                 0.5794,                0.83051,               0.000911,               0.000911,               0.000911
                     58,                 1.3636,                0.67613,                0.97551,                0.93493,                      1,                 0.9676,                0.65974,                  1.245,                0.64195,                0.86248,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3525,                0.70993,                0.95683,                0.96948,                0.99292,                0.96773,                0.69908,                  1.218,                0.62229,                0.85329,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.224,                 0.6631,                0.96292,                0.94107,                0.99818,                0.97199,                0.72243,                 1.0921,                0.59031,                0.81305,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3045,                0.70673,                 0.9699,                  0.914,                0.99642,                0.97121,                0.68633,                 1.1825,                0.63018,                0.85551,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2488,                0.64326,                0.95172,                0.88438,                      1,                0.97071,                0.70285,                 1.0751,                0.60327,                0.84116,               0.000812,               0.000812,               0.000812
                     63,                  1.275,                0.63677,                0.95333,                0.91416,                0.99842,                0.96832,                0.66686,                 1.1961,                0.64666,                0.86102,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3816,                0.68928,                0.96693,                0.96379,                      1,                0.97136,                0.66993,                 1.2322,                0.67894,                0.87302,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2216,                0.67867,                0.96226,                0.96388,                      1,                0.96955,                0.70271,                 1.1232,                0.60553,                0.83435,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2394,                 0.6416,                0.96748,                 0.9655,                      1,                0.96682,                0.71679,                 1.2423,                0.65296,                0.85749,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1709,                0.63212,                0.94522,                0.96928,                      1,                0.97439,                0.71823,                 1.2017,                0.61669,                0.84577,               0.000713,               0.000713,               0.000713
                     68,                 1.3155,                 0.6771,                0.94202,                0.96799,                      1,                0.97894,                0.77828,                 1.0418,                0.55667,                0.81763,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2543,                0.64194,                0.93456,                0.96494,                      1,                0.97803,                0.75977,                 1.0735,                0.58176,                0.83201,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2114,                0.69668,                 0.9711,                0.96496,                      1,                0.97439,                0.74422,                 1.1229,                 0.6084,                0.83546,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2153,                0.66169,                0.96357,                0.93726,                0.93376,                0.96148,                0.65018,                 1.2853,                0.77374,                0.86504,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2107,                0.63174,                0.95433,                0.88865,                0.99765,                0.96166,                0.69895,                 1.1995,                0.63228,                0.85595,               0.000614,               0.000614,               0.000614
