                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7245,                 3.3764,                 1.4718,                0.03148,                 0.9375,                0.04937,                0.01989,                 2.0964,                 3.3851,                 1.0373,                0.00038,                0.00038,                0.00038
                      2,                 2.1743,                 1.9139,                 1.1593,                0.58741,                 0.6875,                0.54653,                0.14987,                 2.6296,                 1.3332,                 1.2293,             0.00077228,             0.00077228,             0.00077228
                      3,                  2.118,                 1.3942,                 1.1307,                0.73514,                  0.875,                0.80006,                0.26135,                 2.4099,                 3.9272,                 1.2631,              0.0011566,              0.0011566,              0.0011566
                      4,                 2.1099,                 1.1822,                 1.1311,                0.87671,                  0.625,                0.82236,                0.41759,                 1.7029,                 1.3793,                 1.0117,              0.0015331,              0.0015331,              0.0015331
                      5,                 2.1433,                 1.1463,                 1.1611,                0.85994,                0.95953,                 0.9591,                0.50626,                 1.6851,                 1.4151,                0.94793,              0.0019016,              0.0019016,              0.0019016
                      6,                  2.008,                 1.1171,                 1.1317,                0.75368,                      1,                0.88749,                0.48906,                 1.6915,                 1.2595,                0.96245,               0.001901,               0.001901,               0.001901
                      7,                 1.9878,                 1.1646,                 1.1454,                 0.7337,                0.94726,                0.88562,                0.42398,                 2.0129,                  1.172,                 1.0929,               0.001901,               0.001901,               0.001901
                      8,                 1.7424,                 1.0309,                  1.053,                0.92471,                 0.9375,                0.95314,                0.56445,                 1.6475,                0.96602,                 0.9724,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7218,                0.97604,                 1.0235,                0.76881,                0.93534,                0.89516,                0.46486,                 1.9205,                 1.5939,                 1.0411,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.8036,                 1.0182,                 1.0927,                0.84283,                  0.875,                 0.8968,                0.35084,                 2.1992,                 1.1338,                 1.0875,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7203,                0.92842,                 1.0501,                0.91212,                0.90625,                0.93505,                 0.5803,                  1.536,                0.84596,                0.89882,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.7654,                0.92729,                 1.0745,                0.87857,                0.96875,                0.89255,                0.52034,                 1.7049,                0.90137,                0.96916,               0.001802,               0.001802,               0.001802
                     13,                 1.6416,                0.94335,                 1.0622,                0.92942,                0.96875,                0.96035,                0.57264,                 1.5721,                0.91199,                0.94982,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6146,                0.87498,                 1.0389,                0.92893,                 0.9375,                0.89854,                0.39365,                 2.0154,                 1.0757,                 1.0138,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.7406,                0.88431,                 1.0456,                0.71994,                 0.9375,                0.89282,                0.54922,                 1.4479,                0.99075,                0.91518,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7285,                0.96925,                 1.0185,                0.95723,                0.96875,                0.94021,                0.45214,                 1.6502,                0.97231,                0.92964,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7174,                0.89946,                 1.0264,                0.96104,                0.96875,                 0.9631,                0.57443,                 1.3257,                0.81201,                 0.8677,               0.001703,               0.001703,               0.001703
                     18,                 1.6249,                 0.9001,                 1.0249,                0.95738,                 0.9375,                0.96157,                0.59348,                 1.3832,                0.74012,                0.88955,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4797,                0.92621,                0.96941,                 0.9087,                0.96875,                0.93023,                 0.5854,                  1.465,                0.73627,                 0.9135,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5255,                 0.8447,                 1.0017,                0.96648,                0.96875,                0.96657,                0.56894,                  1.507,                0.74505,                0.89925,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6112,                0.86627,                 1.0456,                0.88127,                0.92802,                0.90417,                0.52949,                 1.4786,                 0.8818,                0.90744,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6456,                0.85425,                  1.047,                 0.7892,                  0.875,                0.88204,                0.52849,                 1.4129,                0.77784,                 0.8926,               0.001604,               0.001604,               0.001604
                     23,                  1.668,                0.86644,                   1.04,                0.93914,                0.96458,                0.95029,                0.58945,                 1.3201,                0.72187,                0.88247,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4809,                0.81678,                0.99081,                0.93671,                0.92522,                0.95342,                0.60473,                 1.3312,                0.68891,                0.87108,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.605,                0.81981,                 1.0264,                  0.935,                0.96875,                0.94281,                0.56407,                  1.669,                0.77161,                0.90767,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5541,                 0.7936,                 1.0203,                0.96705,                 0.9375,                0.96145,                0.63997,                 1.3336,                0.72258,                0.88578,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4905,                0.77949,                0.99102,                0.85922,                0.95383,                0.92471,                0.54959,                 1.4114,                0.82693,                0.89449,               0.001505,               0.001505,               0.001505
                     28,                 1.5714,                 0.7848,                 1.0231,                0.84723,                0.84375,                0.90837,                 0.5931,                  1.368,                 1.0888,                0.90963,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5368,                0.91338,                 1.0461,                 0.8004,                 0.8125,                 0.9036,                0.54663,                 1.5548,                 1.2448,                0.93374,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4959,                0.80182,                0.98922,                0.90801,                0.92565,                0.95083,                 0.6429,                 1.2165,                0.75554,                0.87219,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3276,                 0.7984,                0.94507,                 0.9456,                0.96875,                0.96618,                0.69458,                 1.1717,                0.73258,                0.83949,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4987,                0.75502,                0.99875,                0.91042,                      1,                0.96717,                0.66071,                 1.3379,                0.72447,                0.87419,               0.001406,               0.001406,               0.001406
                     33,                 1.5026,                0.76736,                 1.0173,                0.83468,                  0.875,                0.95272,                0.67015,                 1.1693,                0.68774,                0.86659,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3906,                 0.7781,                0.99732,                0.93605,                0.91495,                0.97429,                0.64501,                 1.2666,                0.67632,                0.86676,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4692,                0.80238,                 1.0194,                0.95988,                0.96875,                0.94952,                0.65629,                 1.2718,                0.68564,                0.86155,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4603,                0.78001,                 1.0081,                0.95853,                0.96875,                 0.9697,                0.67204,                 1.2268,                0.69391,                0.85372,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4243,                0.78378,                 1.0006,                0.92174,                 0.9375,                0.97955,                0.70943,                 1.2532,                0.74749,                0.87392,               0.001307,               0.001307,               0.001307
                     38,                 1.4712,                0.81307,                 1.0093,                0.96836,                0.96875,                0.98274,                0.73823,                 1.1575,                0.64331,                0.85736,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4008,                0.74904,                0.97589,                0.92631,                0.96875,                0.96569,                0.64353,                 1.2297,                0.75433,                  0.877,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3695,                0.73581,                0.99129,                0.90887,                0.96875,                0.97527,                0.66718,                 1.1697,                0.73503,                0.86264,              0.0012476,              0.0012476,              0.0012476
