                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7863,                 2.7955,                 1.4865,                0.28543,                      1,                0.66953,                0.29255,                   1.81,                 10.268,                0.93719,                0.00038,                0.00038,                0.00038
                      2,                 1.9969,                 1.2675,                 1.1258,                0.83441,                0.94495,                0.96072,                 0.4749,                 1.6745,                 2.1513,                 1.0041,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.9033,                0.98874,                 1.0861,                0.76366,                0.96875,                0.95688,                 0.5089,                 1.5928,                 2.5831,                0.97839,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.7964,                0.91631,                 1.0551,                0.55608,                0.96875,                0.92561,                0.42498,                 1.9637,                 7.7314,                 1.1325,              0.0015331,              0.0015331,              0.0015331
                      5,                 1.9161,                 1.0471,                 1.1061,                0.62916,                0.96875,                0.93706,                0.52654,                 1.8284,                 4.8985,                 1.0929,              0.0019016,              0.0019016,              0.0019016
                      6,                 1.9117,                  1.047,                 1.0933,                0.75466,                0.76921,                 0.7369,                0.33743,                 1.9723,                   3.02,                 1.0242,               0.001901,               0.001901,               0.001901
                      7,                 2.0171,                0.98746,                 1.1406,                0.89481,                  0.875,                0.95084,                0.51628,                 1.7416,                 1.1231,                 1.0337,               0.001901,               0.001901,               0.001901
                      8,                 1.6794,                0.93553,                 1.0368,                0.91947,                0.90625,                0.95193,                 0.5408,                 1.8216,                 1.0501,                 1.0609,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7848,                0.97463,                 1.0455,                0.83353,                 0.8125,                0.91802,                0.49722,                 1.7125,                  1.074,                 1.0179,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7785,                 1.0015,                 1.0742,                0.80826,                0.84375,                0.87694,                0.48875,                 1.5802,                  1.019,                0.94471,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6417,                0.87304,                 1.0371,                0.79418,                0.84411,                 0.9062,                0.46523,                 1.7161,                0.92385,                0.91898,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6964,                0.90933,                 1.0609,                0.93245,                0.96875,                0.94682,                0.58502,                 1.4706,                0.83909,                0.91557,               0.001802,               0.001802,               0.001802
                     13,                 1.7253,                 0.9105,                 1.0634,                0.88655,                0.97701,                0.94146,                0.55765,                 1.2655,                0.97354,                0.85447,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5688,                0.86517,                 1.0179,                0.86278,                0.90625,                 0.9015,                0.49713,                 1.6486,                0.91326,                0.96252,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6352,                0.84744,                 1.0227,                 0.9471,                0.96875,                0.94138,                0.49246,                 1.7595,                0.73319,                0.93171,              0.0017426,              0.0017426,              0.0017426
